id,publication_year,cited_by_count,author_ids
https://openalex.org/W2159141474,2015,667,"['A5064154638', 'A5022704573', 'A5051037471']"
https://openalex.org/W3023080119,2015,43,"['A5064154638', 'A5022704573', 'A5051037471']"
https://openalex.org/W2526308298,2016,31,"['A5022704573', 'A5101509948']"
https://openalex.org/W3121614287,2014,61,"['A5064154638', 'A5022704573', 'A5051037471']"
https://openalex.org/W2737619627,2017,14,"['A5089313267', 'A5100687676', 'A5038833789', 'A5057120924', 'A5076189854']"
https://openalex.org/W2055957857,1999,3185,['A5064753440']
https://openalex.org/W2005011082,1999,881,"['A5089767940', 'A5064753440', 'A5090414446']"
https://openalex.org/W2161818974,2013,764,"['A5013062869', 'A5026111773', 'A5064753440', 'A5019959788', 'A5083078877']"
https://openalex.org/W4244993254,1999,641,['A5064753440']
https://openalex.org/W2030626443,2003,407,"['A5038599704', 'A5103573264', 'A5064753440']"
https://openalex.org/W2071741586,2004,334,"['A5064753440', 'A5085605221', 'A5026111773', 'A5030688487']"
https://openalex.org/W2100794159,2008,292,"['A5026111773', 'A5064753440', 'A5087216909', 'A5001578278']"
https://openalex.org/W2137816973,2002,287,['A5064753440']
https://openalex.org/W2084480800,2006,264,"['A5064753440', 'A5057792288', 'A5026111773', 'A5056778252', 'A5030688487']"
https://openalex.org/W1975147598,2000,252,"['A5064753440', 'A5067534857']"
https://openalex.org/W2145989172,2013,219,['A5064753440']
https://openalex.org/W2084529858,2004,155,"['A5085605221', 'A5064753440']"
https://openalex.org/W2346369599,2016,111,"['A5027031870', 'A5062211540', 'A5042478758', 'A5026111773', 'A5064753440', 'A5019959788']"
https://openalex.org/W1991339018,2010,100,"['A5091389236', 'A5064753440', 'A5063000364']"
https://openalex.org/W2895595573,2018,73,['A5064753440']
https://openalex.org/W2598724967,2017,63,"['A5091072279', 'A5075777279', 'A5026111773', 'A5064753440', 'A5012564044']"
https://openalex.org/W4229079448,2022,59,"['A5085310285', 'A5005003544', 'A5064753440']"
https://openalex.org/W4225257967,2022,35,['A5064753440']
https://openalex.org/W4411789614,2025,12,"['A5085310285', 'A5005003544', 'A5064753440']"
https://openalex.org/W2035800463,2003,118,['A5064753440']
https://openalex.org/W2023039667,2009,116,"['A5062211540', 'A5064753440', 'A5063000364']"
https://openalex.org/W2099853682,2002,97,"['A5070991167', 'A5064753440']"
https://openalex.org/W2110779403,2009,76,"['A5022748824', 'A5042853862', 'A5026111773', 'A5064753440']"
https://openalex.org/W2090946579,2013,70,"['A5080269973', 'A5062211540', 'A5026111773', 'A5064753440', 'A5009481678', 'A5027031870', 'A5100707537', 'A5019959788', 'A5063000364']"
https://openalex.org/W2044056979,2012,68,"['A5083078877', 'A5042853862', 'A5026111773', 'A5064753440', 'A5063000364']"
https://openalex.org/W2146134730,2011,68,"['A5091389236', 'A5022748824', 'A5051780972', 'A5090414446', 'A5064753440', 'A5026111773', 'A5110195429']"
https://openalex.org/W2138939864,2011,58,"['A5051780972', 'A5064753440']"
https://openalex.org/W2171664528,2012,51,"['A5049969740', 'A5034292031', 'A5064753440']"
https://openalex.org/W1999515947,2004,38,"['A5078721850', 'A5064753440', 'A5027529961', 'A5074080902']"
https://openalex.org/W2122702424,2007,38,"['A5064753440', 'A5087216909', 'A5026111773']"
https://openalex.org/W3196594355,2021,28,"['A5005003544', 'A5085310285', 'A5064753440', 'A5071349842']"
https://openalex.org/W827373067,2015,21,"['A5080269973', 'A5062211540', 'A5064753440']"
https://openalex.org/W2043507636,2011,23,"['A5087216909', 'A5064753440', 'A5109269466']"
https://openalex.org/W2053081921,2007,22,"['A5033536775', 'A5010758003', 'A5064753440']"
https://openalex.org/W2332692519,2016,17,"['A5100707537', 'A5026111773', 'A5064753440', 'A5019959788']"
https://openalex.org/W2791259083,2018,15,"['A5079861829', 'A5046321280', 'A5069469622', 'A5019959788', 'A5064753440', 'A5026111773']"
https://openalex.org/W2039481695,2010,28,"['A5065686631', 'A5064753440']"
https://openalex.org/W2056571681,2007,24,"['A5019148563', 'A5064753440', 'A5064805809']"
https://openalex.org/W2144006879,2012,18,"['A5013062869', 'A5026111773', 'A5064753440']"
https://openalex.org/W2157806909,2010,14,"['A5100429324', 'A5085352489', 'A5064753440']"
https://openalex.org/W2293996438,2018,11,"['A5019959788', 'A5064753440', 'A5026111773', 'A5033103353', 'A5062211540', 'A5080269973', 'A5027031870']"
https://openalex.org/W2041795095,2001,14,"['A5090414446', 'A5064753440', 'A5076335955', 'A5089767940']"
https://openalex.org/W2038661098,2014,38,"['A5035315636', 'A5100776720', 'A5073349048', 'A5054748405', 'A5062081971', 'A5064763779']"
https://openalex.org/W3035048992,2020,25,"['A5075276537', 'A5039110976', 'A5032482329', 'A5039915143']"
